Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01371","Almonds, in shell","2022","2022","ha","36684","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01341","Apples","2022","2022","ha","32071","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01343","Apricots","2022","2022","ha","29458","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01216","Artichokes","2022","2022","ha","5541","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01312","Bananas","2022","2022","ha","10","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0115","Barley","2022","2022","ha","1025000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01701","Beans, dry","2022","2022","ha","3514","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01702","Broad beans and horse beans, dry","2022","2022","ha","36127","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01243","Broad beans and horse beans, green","2022","2022","ha","32709","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01212","Cabbages","2022","2022","ha","4807","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01251","Carrots and turnips","2022","2022","ha","16563","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01213","Cauliflowers and broccoli","2022","2022","ha","9359","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01344.02","Cherries","2022","2022","ha","3805","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01703","Chick peas, dry","2022","2022","ha","33835","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2022","2022","ha","3996","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","2022","ha","14843","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01232","Cucumbers and gherkins","2022","2022","ha","4324","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01314","Dates","2022","2022","ha","176044","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01233","Eggplants (aubergines)","2022","2022","ha","6626","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01315","Figs","2022","2022","ha","39056","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01330","Grapes","2022","2022","ha","64720","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01252","Green garlic","2022","2022","ha","11249","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0142","Groundnuts, excluding shelled","2022","2022","ha","6232","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01322","Lemons and limes","2022","2022","ha","4085","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01704","Lentils, dry","2022","2022","ha","5305","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01356","Locust beans (carobs)","2022","2022","ha","699","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0112","Maize (corn)","2022","2022","ha","2475","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0117","Oats","2022","2022","ha","80000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01450","Olives","2022","2022","ha","457609","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01253.02","Onions and shallots, dry (excluding dehydrated)","2022","2022","ha","50078","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01253.01","Onions and shallots, green","2022","2022","ha","33","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01323","Oranges","2022","2022","ha","49123","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01241.90","Other beans, green","2022","2022","ha","12972","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01329","Other citrus fruit, n.e.c.","2022","2022","ha","459","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01359.90","Other fruits, n.e.c.","2022","2022","ha","13666","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01709.90","Other pulses n.e.c.","2022","2022","ha","896","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01349.20","Other stone fruits","2022","2022","ha","2104","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01319","Other tropical fruits, n.e.c.","2022","2022","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2022","2022","ha","61202","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01345","Peaches and nectarines","2022","2022","ha","16637","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01342.01","Pears","2022","2022","ha","19498","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01705","Peas, dry","2022","2022","ha","9538","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01242","Peas, green","2022","2022","ha","36683","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01346","Plums and sloes","2022","2022","ha","11854","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01321","Pomelos and grapefruits","2022","2022","ha","70","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01510","Potatoes","2022","2022","ha","130396","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01235","Pumpkins, squash and gourds","2022","2022","ha","15490","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01342.02","Quinces","2022","2022","ha","1149","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01443","Rape or colza seed","2022","2022","ha","11912","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0113","Rice","2022","2022","ha","172","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01921.01","Seed cotton, unginned","2022","2022","ha","304","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0114","Sorghum","2022","2022","ha","135","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01354","Strawberries","2022","2022","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01801","Sugar beet","2022","2022","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01445","Sunflower seed","2022","2022","ha","193","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01324","Tangerines, mandarins, clementines","2022","2022","ha","14220","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01234","Tomatoes","2022","2022","ha","25050","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01191","Triticale","2022","2022","ha","323","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01970","Unmanufactured tobacco","2022","2022","ha","4412","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01709.01","Vetches","2022","2022","ha","155","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01221","Watermelons","2022","2022","ha","54440","I","Imputed value",""
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","0111","Wheat","2022","2022","ha","1821702","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01311","Avocados","2022","2022","ha","4617","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01312","Bananas","2022","2022","ha","172102","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01701","Beans, dry","2022","2022","ha","701036","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01212","Cabbages","2022","2022","ha","9314","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01251","Carrots and turnips","2022","2022","ha","8375","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01372","Cashew nuts, in shell","2022","2022","ha","2656","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01520.01","Cassava, fresh","2022","2022","ha","1038833","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01447","Castor oil seeds","2022","2022","ha","16429","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01640","Cocoa beans","2022","2022","ha","2864","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01610","Coffee, green","2022","2022","ha","51151","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01252","Green garlic","2022","2022","ha","970","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","0142","Groundnuts, excluding shelled","2022","2022","ha","351479","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01922.02","Kenaf, and other textile bast fibres, raw or retted","2022","2022","ha","1211","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","0112","Maize (corn)","2022","2022","ha","2758105","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01316","Mangoes, guavas and mangosteens","2022","2022","ha","23745","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","0118","Millet","2022","2022","ha","149198","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01491.01","Oil palm fruit","2022","2022","ha","23259","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01253.01","Onions and shallots, green","2022","2022","ha","24856","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01329","Other citrus fruit, n.e.c.","2022","2022","ha","39804","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01359.90","Other fruits, n.e.c.","2022","2022","ha","8443","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2022","2022","ha","60297","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01318","Pineapples","2022","2022","ha","36946","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01510","Potatoes","2022","2022","ha","68040","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","0113","Rice","2022","2022","ha","8572","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01921.01","Seed cotton, unginned","2022","2022","ha","5584","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01444","Sesame seed","2022","2022","ha","12749","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01929.05","Sisal, raw","2022","2022","ha","530","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","0114","Sorghum","2022","2022","ha","152302","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","0141","Soya beans","2022","2022","ha","36263","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01802","Sugar cane","2022","2022","ha","28514","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01445","Sunflower seed","2022","2022","ha","17243","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01530","Sweet potatoes","2022","2022","ha","189378","A","Official figure",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01234","Tomatoes","2022","2022","ha","57335","I","Imputed value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01970","Unmanufactured tobacco","2022","2022","ha","2765","E","Estimated value",""
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","0111","Wheat","2022","2022","ha","3351","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01312","Bananas","2022","2022","ha","4211","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01701","Beans, dry","2022","2022","ha","147808","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01372","Cashew nuts, in shell","2022","2022","ha","587569","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01520.01","Cassava, fresh","2022","2022","ha","388908","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01447","Castor oil seeds","2022","2022","ha","887","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2022","2022","ha","37467","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","2022","ha","37467","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01640","Cocoa beans","2022","2022","ha","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01460","Coconuts, in shell","2022","2022","ha","18865","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01610","Coffee, green","2022","2022","ha","284","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01314","Dates","2022","2022","ha","583","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01193","Fonio","2022","2022","ha","8519","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","0142","Groundnuts, excluding shelled","2022","2022","ha","158638","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01499.01","Karite nuts (sheanuts)","2022","2022","ha","39152","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01379.02","Kola nuts","2022","2022","ha","2038","I","Imputed value",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","0112","Maize (corn)","2022","2022","ha","1391073","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5312","Area harvested","01316","Mangoes, guavas and mangosteens","2022","2022","ha","3405","E","Estimated value",""
